Date,Year,Quarter,Month,Day
01/01/18,2018,Qtr 1,Jan,Mon
01/02/18,2018,Qtr 1,Jan,Tue
01/03/18,2018,Qtr 1,Jan,Wed
01/04/18,2018,Qtr 1,Jan,Thu
01/05/18,2018,Qtr 1,Jan,Fri
01/06/18,2018,Qtr 1,Jan,Sat
01/07/18,2018,Qtr 1,Jan,Sun
01/08/18,2018,Qtr 1,Jan,Mon
01/09/18,2018,Qtr 1,Jan,Tue
01/10/18,2018,Qtr 1,Jan,Wed
01/11/18,2018,Qtr 1,Jan,Thu
01/12/18,2018,Qtr 1,Jan,Fri
01/13/18,2018,Qtr 1,Jan,Sat
01/14/18,2018,Qtr 1,Jan,Sun
01/15/18,2018,Qtr 1,Jan,Mon
01/16/18,2018,Qtr 1,Jan,Tue
01/17/18,2018,Qtr 1,Jan,Wed
01/18/18,2018,Qtr 1,Jan,Thu
01/19/18,2018,Qtr 1,Jan,Fri
01/20/18,2018,Qtr 1,Jan,Sat
01/21/18,2018,Qtr 1,Jan,Sun
01/22/18,2018,Qtr 1,Jan,Mon
01/23/18,2018,Qtr 1,Jan,Tue
01/24/18,2018,Qtr 1,Jan,Wed
01/25/18,2018,Qtr 1,Jan,Thu
01/26/18,2018,Qtr 1,Jan,Fri
01/27/18,2018,Qtr 1,Jan,Sat
01/28/18,2018,Qtr 1,Jan,Sun
01/29/18,2018,Qtr 1,Jan,Mon
01/30/18,2018,Qtr 1,Jan,Tue
01/31/18,2018,Qtr 1,Jan,Wed
02/01/18,2018,Qtr 1,Feb,Thu
02/02/18,2018,Qtr 1,Feb,Fri
02/03/18,2018,Qtr 1,Feb,Sat
02/04/18,2018,Qtr 1,Feb,Sun
02/05/18,2018,Qtr 1,Feb,Mon
02/06/18,2018,Qtr 1,Feb,Tue
02/07/18,2018,Qtr 1,Feb,Wed
02/08/18,2018,Qtr 1,Feb,Thu
02/09/18,2018,Qtr 1,Feb,Fri
02/10/18,2018,Qtr 1,Feb,Sat
02/11/18,2018,Qtr 1,Feb,Sun
02/12/18,2018,Qtr 1,Feb,Mon
02/13/18,2018,Qtr 1,Feb,Tue
02/14/18,2018,Qtr 1,Feb,Wed
02/15/18,2018,Qtr 1,Feb,Thu
02/16/18,2018,Qtr 1,Feb,Fri
02/17/18,2018,Qtr 1,Feb,Sat
02/18/18,2018,Qtr 1,Feb,Sun
02/19/18,2018,Qtr 1,Feb,Mon
02/20/18,2018,Qtr 1,Feb,Tue
02/21/18,2018,Qtr 1,Feb,Wed
02/22/18,2018,Qtr 1,Feb,Thu
02/23/18,2018,Qtr 1,Feb,Fri
02/24/18,2018,Qtr 1,Feb,Sat
02/25/18,2018,Qtr 1,Feb,Sun
02/26/18,2018,Qtr 1,Feb,Mon
02/27/18,2018,Qtr 1,Feb,Tue
02/28/18,2018,Qtr 1,Feb,Wed
03/01/18,2018,Qtr 1,Mar,Thu
03/02/18,2018,Qtr 1,Mar,Fri
03/03/18,2018,Qtr 1,Mar,Sat
03/04/18,2018,Qtr 1,Mar,Sun
03/05/18,2018,Qtr 1,Mar,Mon
03/06/18,2018,Qtr 1,Mar,Tue
03/07/18,2018,Qtr 1,Mar,Wed
03/08/18,2018,Qtr 1,Mar,Thu
03/09/18,2018,Qtr 1,Mar,Fri
03/10/18,2018,Qtr 1,Mar,Sat
03/11/18,2018,Qtr 1,Mar,Sun
03/12/18,2018,Qtr 1,Mar,Mon
03/13/18,2018,Qtr 1,Mar,Tue
03/14/18,2018,Qtr 1,Mar,Wed
03/15/18,2018,Qtr 1,Mar,Thu
